/Users/aaron/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-14 09:30:10,426 - INFO - 📊 300568 分析完成: 持有 (较弱)
2025-11-14 09:30:10,835 - INFO - 📊 300601 分析完成: 持有 (较弱)
2025-11-14 09:30:10,863 - INFO - 📊 300595 分析完成: 买入 (强烈)
2025-11-14 09:30:10,894 - INFO - 📊 300558 分析完成: 持有 (较弱)
2025-11-14 09:30:13,266 - INFO - 📊 300628 分析完成: 持有 (较弱)
2025-11-14 09:30:13,286 - INFO - 📊 300618 分析完成: 持有 (较弱)
2025-11-14 09:30:14,850 - INFO - 📊 300418 分析完成: 持有 (较弱)
2025-11-14 09:30:14,912 - INFO - 📊 300676 分析完成: 持有 (较弱)
2025-11-14 09:30:15,529 - INFO - 📊 300682 分析完成: 持有 (较弱)
2025-11-14 09:30:15,553 - INFO - 📊 300724 分析完成: 持有 (较弱)
2025-11-14 09:30:15,591 - INFO - 📊 300699 分析完成: 持有 (较弱)
2025-11-14 09:30:15,662 - INFO - 📊 300738 分析完成: 持有 (较弱)
2025-11-14 09:30:17,705 - INFO - 📊 300751 分析完成: 持有 (较弱)
2025-11-14 09:30:17,830 - INFO - 📊 300750 分析完成: 买入 (强烈)
2025-11-14 09:30:19,686 - INFO - 📊 300759 分析完成: 持有 (较弱)
2025-11-14 09:30:19,771 - INFO - 📊 300760 分析完成: 卖出 (中等)
2025-11-14 09:30:19,916 - INFO - 📊 300782 分析完成: 持有 (较弱)
2025-11-14 09:30:19,919 - INFO - 📊 300896 分析完成: 持有 (较弱)
2025-11-14 09:30:20,479 - INFO - 📊 300919 分析完成: 持有 (较弱)
2025-11-14 09:30:20,640 - INFO - 📊 300772 分析完成: 持有 (较弱)
2025-11-14 09:30:22,173 - INFO - 📊 300957 分析完成: 持有 (较弱)
2025-11-14 09:30:22,174 - INFO - 📊 300979 分析完成: 持有 (较弱)
2025-11-14 09:30:24,490 - INFO - 📊 301048 分析完成: 买入 (强烈)
2025-11-14 09:30:24,498 - INFO - 📊 301015 分析完成: 持有 (较弱)
2025-11-14 09:30:24,686 - INFO - 📊 300999 分析完成: 持有 (较弱)
2025-11-14 09:30:24,783 - INFO - 📊 301029 分析完成: 持有 (较弱)
2025-11-14 09:30:25,348 - INFO - 📊 301056 分析完成: 卖出 (中等)
2025-11-14 09:30:25,553 - INFO - 📊 301076 分析完成: 持有 (较弱)
2025-11-14 09:30:26,649 - INFO - 📊 301111 分析完成: 持有 (较弱)
2025-11-14 09:30:28,936 - INFO - 📊 301087 分析完成: 持有 (较弱)
2025-11-14 09:30:29,131 - INFO - 📊 301138 分析完成: 持有 (较弱)
2025-11-14 09:30:29,506 - INFO - 📊 301151 分析完成: 持有 (较弱)
2025-11-14 09:30:29,552 - INFO - 📊 301186 分析完成: 持有 (较弱)
2025-11-14 09:30:29,836 - INFO - 📊 301200 分析完成: 持有 (较弱)
2025-11-14 09:30:30,194 - INFO - 📊 301236 分析完成: 持有 (较弱)
2025-11-14 09:30:31,669 - INFO - 📊 301269 分析完成: 持有 (较弱)
2025-11-14 09:30:33,723 - INFO - 📊 301287 分析完成: 持有 (较弱)
2025-11-14 09:30:34,029 - INFO - 📊 301296 分析完成: 持有 (较弱)
2025-11-14 09:30:34,108 - INFO - 📊 301308 分析完成: 持有 (较弱)
2025-11-14 09:30:34,184 - INFO - 📊 301319 分析完成: 持有 (较弱)
2025-11-14 09:30:34,244 - INFO - 📊 301326 分析完成: 持有 (较弱)
2025-11-14 09:30:34,937 - INFO - 📊 301329 分析完成: 持有 (较弱)
2025-11-14 09:30:35,212 - INFO - 📊 301208 分析完成: 持有 (较弱)
2025-11-14 09:30:38,187 - INFO - 📊 301348 分析完成: 持有 (较弱)
2025-11-14 09:30:38,647 - INFO - 📊 600010 分析完成: 持有 (较弱)
2025-11-14 09:30:38,814 - INFO - 📊 600004 分析完成: 持有 (较弱)
2025-11-14 09:30:39,007 - INFO - 📊 600000 分析完成: 持有 (较弱)
2025-11-14 09:30:39,048 - INFO - 📊 600009 分析完成: 买入 (强烈)
2025-11-14 09:30:39,647 - INFO - 📊 600011 分析完成: 持有 (较弱)
2025-11-14 09:30:40,265 - INFO - 📊 600015 分析完成: 持有 (较弱)
2025-11-14 09:30:42,825 - INFO - 📊 600016 分析完成: 持有 (较弱)
2025-11-14 09:30:42,912 - INFO - 📊 600018 分析完成: 持有 (较弱)
2025-11-14 09:30:43,149 - INFO - 📊 600019 分析完成: 持有 (较弱)
2025-11-14 09:30:43,712 - INFO - 📊 600025 分析完成: 持有 (较弱)
2025-11-14 09:30:43,714 - INFO - 📊 600028 分析完成: 持有 (较弱)
2025-11-14 09:30:44,120 - INFO - 📊 600029 分析完成: 持有 (较弱)
2025-11-14 09:30:44,794 - INFO - 📊 600030 分析完成: 卖出 (中等)
2025-11-14 09:30:44,997 - INFO - 📊 301339 分析完成: 持有 (较弱)
2025-11-14 09:30:47,382 - INFO - 📊 600031 分析完成: 卖出 (中等)
2025-11-14 09:30:48,054 - INFO - 📊 600035 分析完成: 持有 (较弱)
2025-11-14 09:30:48,098 - INFO - 📊 600036 分析完成: 持有 (中等)
2025-11-14 09:30:48,505 - INFO - 📊 600039 分析完成: 持有 (较弱)
2025-11-14 09:30:48,828 - INFO - 📊 600038 分析完成: 持有 (较弱)
2025-11-14 09:30:48,948 - INFO - 📊 600048 分析完成: 卖出 (中等)
2025-11-14 09:30:49,636 - INFO - 📊 600050 分析完成: 持有 (较弱)
2025-11-14 09:30:49,730 - INFO - 📊 600058 分析完成: 持有 (较弱)
2025-11-14 09:30:52,450 - INFO - 📊 600061 分析完成: 持有 (较弱)
2025-11-14 09:30:53,215 - INFO - 📊 600085 分析完成: 持有 (中等)
2025-11-14 09:30:53,271 - INFO - 📊 600066 分析完成: 持有 (较弱)
2025-11-14 09:30:53,313 - INFO - 📊 600068 分析完成: 持有 (较弱)
2025-11-14 09:30:53,577 - INFO - 📊 600104 分析完成: 卖出 (中等)
2025-11-14 09:30:53,971 - INFO - 📊 600110 分析完成: 持有 (较弱)
2025-11-14 09:30:54,152 - INFO - 📊 600089 分析完成: 持有 (较弱)
2025-11-14 09:30:54,631 - INFO - 📊 600111 分析完成: 卖出 (中等)
2025-11-14 09:30:57,257 - INFO - 📊 600115 分析完成: 持有 (较弱)
2025-11-14 09:30:57,986 - INFO - 📊 600150 分析完成: 持有 (较弱)
2025-11-14 09:30:58,027 - INFO - 📊 600183 分析完成: 持有 (较弱)
2025-11-14 09:30:58,104 - INFO - 📊 600177 分析完成: 持有 (较弱)
2025-11-14 09:30:58,256 - INFO - 📊 600170 分析完成: 持有 (较弱)
2025-11-14 09:30:58,528 - INFO - 📊 600188 分析完成: 持有 (较弱)
2025-11-14 09:30:58,610 - INFO - 📊 600195 分析完成: 持有 (较弱)
2025-11-14 09:30:59,782 - INFO - 📊 600196 分析完成: 卖出 (中等)
2025-11-14 09:31:01,909 - INFO - 📊 600208 分析完成: 持有 (较弱)
2025-11-14 09:31:02,805 - INFO - 📊 600216 分析完成: 持有 (较弱)
2025-11-14 09:31:02,854 - INFO - 📊 600256 分析完成: 持有 (较弱)
2025-11-14 09:31:02,991 - INFO - 📊 600271 分析完成: 持有 (较弱)
2025-11-14 09:31:03,176 - INFO - 📊 600276 分析完成: 卖出 (中等)
2025-11-14 09:31:03,196 - INFO - 📊 600233 分析完成: 持有 (较弱)
2025-11-14 09:31:03,247 - INFO - 📊 600309 分析完成: 买入 (强烈)
2025-11-14 09:31:04,363 - INFO - 📊 600362 分析完成: 持有 (较弱)
2025-11-14 09:31:07,179 - INFO - 📊 600383 分析完成: 持有 (较弱)
2025-11-14 09:31:07,565 - INFO - 📊 600547 分析完成: 卖出 (中等)
2025-11-14 09:31:12,189 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))
2025-11-14 09:31:12,576 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))
2025-11-14 09:31:18,013 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Read timed out. (read timeout=15)
2025-11-14 09:31:18,198 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Read timed out. (read timeout=15)
2025-11-14 09:31:18,860 - ERROR - DeepSeek API调用失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-11-14 09:31:19,386 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Read timed out. (read timeout=15)
2025-11-14 09:31:20,679 - ERROR - DeepSeek API调用失败: HTTPSConnectionPool(host='api.deepseek.com', port=443): Read timed out.
